scenario,time,cell_x,cell_z,count,density,mean_speed,mean_vx,mean_vz
Burst,13.59,10,1,1,0.0056,3.0077,-3.0061,-0.0975
Burst,19.23,6,1,2,0.0113,6.8723,-5.9497,3.1471
Burst,19.73,6,1,2,0.0113,5.6904,-5.1191,2.2971
Burst,20.75,6,1,2,0.0113,6.727,-5.8733,2.9746
Burst,21.26,6,1,3,0.0169,4.0013,-3.7793,0.8281
Burst,21.76,6,1,3,0.0169,3.9152,-3.6472,1.0118
Burst,22.27,6,1,3,0.0169,5.012,-4.5151,1.9846
Burst,23.29,6,1,3,0.0169,5.3569,-4.7952,1.9449
Burst,23.8,6,1,3,0.0169,4.9496,-4.4939,1.6675
Burst,24.3,6,1,3,0.0169,5.4426,-4.9035,1.776
Burst,24.81,5,1,5,0.0281,3.2062,-2.8728,0.0444
Burst,24.81,6,1,3,0.0169,4.2813,-3.9708,1.3152
Burst,25.33,6,1,4,0.0225,4.698,-4.2125,1.5614
Burst,25.84,6,1,3,0.0169,4.119,-3.8649,1.0648
Burst,26.34,6,1,3,0.0169,5.4224,-4.8911,1.6125
Burst,26.85,6,1,3,0.0169,3.3324,-3.2004,0.812
Burst,27.35,6,1,4,0.0225,5.578,-4.9478,2.446
Burst,27.85,6,1,4,0.0225,4.5373,-4.0173,1.7583
Burst,29.87,6,1,6,0.0338,5.2623,-4.6066,1.7392
Burst,30.38,6,1,6,0.0338,3.2001,-2.8761,0.2986
Burst,30.88,6,1,5,0.0281,3.5402,-3.1746,0.2423
Burst,31.39,6,1,6,0.0338,4.072,-3.7357,0.5655
Burst,32.39,6,1,6,0.0338,3.5765,-3.3925,0.7349
Burst,32.9,6,1,7,0.0394,4.9663,-4.4609,1.6485
Burst,33.94,6,1,6,0.0338,3.4282,-3.1529,0.6818
Burst,34.45,25,1,1,0.0056,9.9317,8.2769,5.4893
Burst,34.95,25,1,1,0.0056,10.5045,8.7387,5.8293
Burst,35.96,6,1,8,0.045,3.2446,-2.8878,0.2744
Burst,36.96,24,1,3,0.0169,3.2778,3.1019,0.8403
Burst,37.46,6,1,8,0.045,3.7114,-3.3898,0.7859
Burst,37.46,25,1,3,0.0169,7.7252,6.2448,3.7596
Burst,37.96,6,1,7,0.0394,3.502,-3.1858,0.7544
Burst,37.96,25,1,3,0.0169,6.2158,5.3075,2.711
Burst,38.46,25,1,4,0.0225,4.2884,3.622,1.2522
Burst,38.97,25,1,3,0.0169,4.1576,3.6592,1.2612
Burst,39.97,6,1,6,0.0338,3.6112,-3.3201,0.6492
Burst,42.47,25,1,2,0.0113,4.3866,3.8815,1.1522
Burst,42.97,25,1,3,0.0169,7.8919,6.4809,3.7595
Burst,43.47,25,1,2,0.0113,7.3092,6.2552,3.6385
