cell_x,total_person_time,max_density,mean_density,mean_speed,mean_bottleneck_score,persistent_event_steps,candidate_hotspot_steps
0,0,0.0,0.0,,0.0,0,0
1,0,0.0,0.0,,0.0,0,0
2,0,0.0,0.0,,0.0,0,0
3,0,0.0,0.0,,0.0,0,0
4,2168,0.056299999999999996,0.017148455056179776,1.691004283316799,0.08682635297672903,0,0
5,4356,0.1013,0.03442584269662921,2.3564442791179525,0.1453332009580917,0,6
6,8725,0.18569999999999998,0.0689490168539326,1.5345684599866827,0.2873537032775527,0,311
7,8867,0.1856,0.07006643258426966,1.7678477159745603,0.2464537493332757,0,311
8,9295,0.1856,0.07343932584269663,1.7011678360612386,0.25126400937363846,0,336
9,7409,0.1406,0.05854016853932584,1.8527570461968574,0.21871028742754026,0,301
10,6425,0.1181,0.05076516853932584,1.958670363942104,0.19019446374672366,0,204
11,3144,0.0675,0.024841432584269664,2.1458094594594592,0.09301724066234777,0,0
12,2877,0.0675,0.022733146067415732,2.3675775067750675,0.08525509610026717,0,0
13,3003,0.0619,0.023727387640449436,2.330111111111111,0.08886660110280385,0,0
14,627,0.0169,0.00495688202247191,1.2653874203821658,0.06332038892197832,0,0
15,0,0.0,0.0,,0.0,0,0
16,0,0.0,0.0,,0.0,0,0
17,57,0.0056,0.000448314606741573,2.6274229166666667,0.0061619462071374545,0,0
18,88,0.0056,0.0006921348314606741,2.725527586206897,0.0031317313849915625,0,0
19,87,0.0056,0.0006842696629213484,2.7997190476190474,0.0040857687605519045,0,0
20,89,0.0056,0.0007,2.7331752808988763,0.002669267043139084,0,0
21,89,0.0056,0.0007,2.696212359550562,0.002669267043139084,0,0
22,92,0.0056,0.0007235955056179776,2.634264130434783,0.0027565931187052486,0,0
23,92,0.0056,0.0007235955056179776,2.585028260869565,0.002756593118705248,0,0
24,87,0.0056,0.0006842696629213484,2.582673255813954,0.0031026226931361745,0,0
25,75,0.0056,0.0005898876404494382,2.330778260869565,0.01651736333469174,0,0
26,56,0.0056,0.00044044943820224715,2.3941571428571433,0.0017086802119112767,0,0
27,0,0.0,0.0,,0.0,0,0
28,0,0.0,0.0,,0.0,0,0
29,0,0.0,0.0,,0.0,0,0
