scenario,time,cell_x,cell_z,count,density,mean_speed,mean_vx,mean_vz
Normal,91.14,9,1,1,0.0056,3.0065,-2.9964,-0.2455
Normal,107.74,6,1,2,0.0113,6.8201,-5.992,2.9415
Normal,108.24,5,1,1,0.0056,10.02,-8.7097,4.954
Normal,109.74,6,1,3,0.0169,4.7758,-4.2922,1.4514
Normal,110.24,5,1,2,0.0113,6.8324,-5.8406,2.6271
Normal,110.75,6,1,3,0.0169,4.4964,-4.2455,0.9216
Normal,111.25,5,1,3,0.0169,4.9107,-4.2397,1.1371
Normal,111.75,6,1,2,0.0113,3.4866,-3.4697,0.1588
Normal,112.25,6,1,2,0.0113,7.0875,-6.2002,2.6726
Normal,112.75,5,1,4,0.0225,3.319,-2.9746,0.026
Normal,112.75,6,1,2,0.0113,3.6846,-3.5578,0.5798
Normal,113.25,6,1,2,0.0113,6.9402,-6.0596,2.9376
Normal,115.25,6,1,3,0.0169,4.9597,-4.5033,1.601
Normal,115.75,5,1,5,0.0281,3.6164,-3.1652,0.3421
Normal,115.75,6,1,3,0.0169,3.1274,-2.9749,0.6541
Normal,116.25,6,1,4,0.0225,4.7508,-4.218,1.7061
Normal,116.75,6,1,3,0.0169,3.1021,-2.9323,0.8866
Normal,117.25,6,1,3,0.0169,5.6189,-4.9462,2.3118
Normal,117.75,6,1,3,0.0169,5.2976,-4.7454,1.8443
Normal,118.25,6,1,4,0.0225,5.5047,-5.0208,1.9105
Normal,118.76,6,1,4,0.0225,4.6887,-4.284,1.47
Normal,119.26,6,1,3,0.0169,3.119,-3.0621,0.4817
Normal,119.76,6,1,3,0.0169,5.6318,-4.9709,1.9901
Normal,120.26,6,1,2,0.0113,6.2118,-5.4138,2.1614
Normal,120.76,6,1,4,0.0225,6.0751,-5.4235,2.2957
Normal,121.26,5,1,8,0.045,3.138,-2.6602,-0.1447
Normal,122.26,18,1,1,0.0056,3.0805,3.0464,-0.4574
Normal,123.76,6,1,4,0.0225,4.5189,-4.0069,1.2025
Normal,124.26,5,1,7,0.0394,3.077,-2.6155,0.0159
Normal,124.76,6,1,5,0.0281,3.191,-2.9424,0.5121
Normal,125.27,6,1,6,0.0338,4.3848,-3.9728,1.61
Normal,125.77,6,1,5,0.0281,3.8581,-3.4401,1.2945
Normal,127.27,6,1,5,0.0281,4.0204,-3.6539,1.2124
Normal,127.77,6,1,4,0.0225,4.4227,-4.0507,1.443
Normal,129.27,6,1,6,0.0338,3.4638,-3.1148,0.3651
Normal,129.77,5,1,8,0.045,3.0903,-2.4816,-0.0797
Normal,129.77,6,1,5,0.0281,3.9019,-3.4119,0.7167
Normal,130.28,5,1,8,0.045,3.0107,-2.6389,0.0366
Normal,130.78,6,1,4,0.0225,4.2056,-3.7688,1.1377
Normal,132.28,6,1,6,0.0338,4.4908,-4.0483,1.5827
Normal,132.78,5,1,9,0.0506,3.8072,-3.2807,0.4489
Normal,133.78,6,1,6,0.0338,3.0017,-2.8351,0.5557
Normal,134.28,5,1,9,0.0506,3.1332,-2.4684,-0.078
Normal,135.28,6,1,8,0.045,5.266,-4.5766,2.2192
Normal,135.79,5,1,11,0.0619,3.8942,-3.1873,0.7145
Normal,137.79,25,1,1,0.0056,5.5016,4.9983,2.2988
Normal,138.29,25,1,1,0.0056,11.691,9.2905,7.0969
Normal,138.79,25,1,1,0.0056,5.2278,4.788,2.0986
Normal,142.79,5,1,5,0.0281,3.7071,-3.0923,0.6
Normal,144.3,5,0,5,0.0281,4.269,-3.7931,1.8449
Normal,144.8,5,1,3,0.0169,8.4656,-6.8073,4.4612
Normal,145.3,5,0,5,0.0281,3.6128,-2.9802,1.1087
Normal,145.3,5,1,3,0.0169,3.3877,-3.0134,0.9897
Normal,145.8,5,1,4,0.0225,4.607,-3.6584,1.8405
Normal,146.3,5,0,4,0.0225,3.984,-3.6085,1.2158
Normal,146.3,5,1,5,0.0281,4.2739,-3.6011,1.3578
Normal,146.82,5,1,5,0.0281,5.0584,-4.1201,2.1182
