Section,Metric,Value,Description
CoreMetrics,T_total,0.000,总疏散时间
CoreMetrics,AvgTravelTime,61.179,平均通行时间
CoreMetrics,T_core,0.000,核心瓶颈持续时间
CoreMetrics,T_belt,0.000,主拥堵带持续时间
CoreMetrics,rho_peak_core,0.1067,核心区峰值密度
CoreMetrics,Imbalance,0.0000,闸机不均衡系数
Scenario,ExperimentName,Burst_Metering_GateGuidance,实验名称
Scenario,Scenario,Burst,仿真工况
Scenario,EnableControl,True,是否启用管控
Scenario,UseSpawnMetering,True,是否启用出口节流
Scenario,UseGateGuidance,True,是否启用闸机诱导
Scenario,CurrentLevel,Level0_NoControl,结束时控制等级
Control,InterventionCount,0,管控触发次数
Control,LevelChangeCount,0,控制等级变化次数
Control,TotalControlActiveTime,0.000,管控累计生效时间
Flow,TotalTarget,4699,目标总人数
Flow,TotalGenerated,4699,累计生成人数
Flow,TotalArrived,2936,累计到达人数
Flow,TotalFailed,1733,异常终止人数
Flow,PeakActiveAgents,430,最大同时在场人数
Gate,WestPassed,0,西闸机通过人数
Gate,EastPassed,0,东闸机通过人数
Gate,GateImbalance,0.0000,闸机不均衡系数
Failure,WrongExitCount,1090,误入出口次数
Failure,OutOfBoundsCount,643,越界次数
Failure,WallCollisionCount,402500,撞墙次数
Failure,ObstacleCollisionCount,4308,撞障碍物次数
Failure,PedestrianCollisionCount,64646,行人碰撞次数
ControlParameters,PrimaryMeteredSpawnZones,1|3,主节流出口
ControlParameters,SecondaryMeteredSpawnZones,5,次节流出口
ControlParameters,Level1PrimaryRate,0.7,一级控制主出口倍率
ControlParameters,Level1SecondaryRate,0.85,一级控制次出口倍率
ControlParameters,Level1GatePenalty,15,一级控制闸机惩罚
ControlParameters,Level2PrimaryRate,0.5,二级控制主出口倍率
ControlParameters,Level2SecondaryRate,0.75,二级控制次出口倍率
ControlParameters,Level2GatePenalty,30,二级控制闸机惩罚
ControlParameters,Level3PrimaryRate,0.35,三级控制主出口倍率
ControlParameters,Level3SecondaryRate,0.65,三级控制次出口倍率
ControlParameters,Level3GatePenalty,40,三级控制闸机惩罚
