scenario,time,cell_x,cell_z,count,density,mean_speed,mean_vx,mean_vz
Burst,0.48,0,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,0,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,0,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,1,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,1,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,1,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,2,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,2,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,2,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,3,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,3,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,3,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,4,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,4,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,4,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,5,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,5,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,5,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,6,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,6,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,6,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,7,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,7,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,7,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,8,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,8,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,8,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,9,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,9,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,9,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,10,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,10,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,10,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,11,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,11,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,11,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,12,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,12,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,12,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,13,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,13,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,13,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,14,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,14,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,14,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,15,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,15,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,15,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,16,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,16,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,16,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,17,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,17,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,17,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,18,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,18,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,18,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,19,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,19,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,19,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,20,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,20,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,20,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,21,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,21,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,21,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,22,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,22,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,22,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,23,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,23,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,23,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,24,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,24,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,24,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,25,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,25,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,25,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,26,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,26,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,26,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,27,0,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,27,1,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,27,2,0,0.0000,0.0000,0.0000,0.0000
Burst,0.48,28,0,0,0.0000,0.0000,0.0000,0.0000
